,mean,sd,r_hat,ess_bulk,ess_tail
bhmm::flu_mu_obs[4],101.96725447326048,57.304903250518315,1.0012734286148504,3876.310465413174,1941.7904708977508
bhmm::flu_mu_obs[5],121.80878029142374,55.15976617975772,1.0009853502014057,4279.237672239807,2406.4159597422918
bhmm::flu_mu_obs[6],141.74213176755606,52.05803118908043,1.0006274103350425,5094.9761359983695,3685.1022976544177
bhmm::flu_mu_obs[7],160.32196227504346,47.99510881378075,1.0001313910808274,6174.978425627066,4477.6870242814
bhmm::flu_mu_obs[8],176.0991807983511,43.259021266116925,0.999952765311235,6203.586631906018,4872.168138163545
bhmm::flu_mu_obs[9],187.87617793188366,38.48284576907682,1.0000112501948097,5136.865744312335,3735.1264400391046
bhmm::flu_mu_obs[10],194.8969537370795,34.52776815069845,1.0002757186125786,4300.53162528186,2752.627111548128
bhmm::flu_mu_obs[11],196.92620178162235,32.14518143318241,1.0005488796081574,3547.099873071531,2155.146055583832
bhmm::flu_mu_obs[12],194.2153840250553,31.520136449809012,1.0007652854330773,2802.2805208621403,1790.734440574054
bhmm::flu_mu_obs[13],187.38835669705654,32.14084178160548,1.0010676924053392,2251.916822450965,1694.4024658158228
bhmm::mea_mu_obs[0],0.0010000000000000005,1.2555061157382141e-16,,8000.0,8000.0
bhmm::mea_mu_obs[1],0.09206635445689608,0.009157201671768707,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[2],0.17328983321880856,0.01805081056635955,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[3],0.2523111071104069,0.02818736554449849,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[4],0.335750135052705,0.04081061683245092,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[5],0.42910448329478107,0.05709260374275871,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[6],0.537333465463274,0.0782456825994146,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[7],0.6652300177574194,0.10557686657396279,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[8],0.8176345839905016,0.1404882033541701,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[9],0.9995131159519787,0.18441463911753758,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[10],1.2158985043396686,0.23868287420378334,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[11],1.4716794204289605,0.30427326694688794,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[12],1.7712140290389107,0.3814766720594078,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[13],2.117752428262098,0.4694647496538725,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[14],2.5126765250983336,0.5658373633799496,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[15],2.954613263310909,0.6662653244213635,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[16],3.4385437898637536,0.7643878170315321,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[17],3.9551020758783886,0.852120031460048,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[18],4.490302556673293,0.9204550094599743,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[19],5.025921635072521,0.9607086145952649,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_mu_obs[20],5.540657256614169,0.9659970094802407,1.0003898951246104,8062.8483381842425,4962.187128121114
bhmm::mea_mu_obs[21],6.012010850816317,0.9326175548982921,1.00039794044594,8052.859381924983,4962.187128121114
bhmm::mea_mu_obs[22],6.418625553554664,0.8609926829023855,1.0004223520137652,8045.689299234072,4962.187128121114
bhmm::mea_mu_obs[23],6.742651661435525,0.7559681455648377,1.0004154375726524,8033.634070438085,4957.413590998906
bhmm::mea_mu_obs[24],6.971666245444792,0.6265346227769243,1.0005077311422683,7955.24402771077,5418.252467010707
bhmm::mea_mu_obs[25],7.099774980908803,0.485511402671781,1.0006112327501988,7994.708444746698,6089.186202900426
bhmm::mea_mu_obs[26],7.127735037686368,0.35075447171357244,1.000218226268277,6517.651120753829,5721.642141794387
bhmm::mea_mu_obs[27],7.0621784479205765,0.25139258685856253,1.0003341693030905,4401.127859978939,4593.528777348148
bhmm::mea_mu_obs[28],6.914202124809442,0.22894396275576331,1.0005639081708408,3948.103784932459,3530.8398192698783
bhmm::mea_mu_obs[29],6.697673709353841,0.2800172184215043,1.000050001920006,5649.338887991674,4577.204963210338
bhmm::mea_mu_obs[30],6.427579703360506,0.35440917169443403,1.0002288019423453,6860.404540958264,4824.946324058535
bhmm::mea_mu_obs[31],6.118648437534865,0.4235933685429366,1.0004159529732615,7653.844502637833,4962.187128121114
bhmm::mea_mu_obs[32],5.784362670795848,0.4783953031715456,1.0003902309153965,7900.357659920503,4962.187128121114
bhmm::mea_mu_obs[33],5.43637328264942,0.5169269024637216,1.0003642152954941,7963.709488906812,4962.187128121114
bhmm::mea_mu_obs[34],5.084256883811413,0.5400943037393825,1.0003815781697698,8052.249856466783,4962.187128121114
bhmm::mea_mu_obs[35],4.735528323175653,0.5499201690592714,1.0003889231461682,8069.096972307136,4962.187128121114
bhmm::mea_mu_obs[36],4.395816139119791,0.5487863874503464,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[37],4.069122833942677,0.5390517216877271,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[38],3.7581125382794007,0.5228594659905952,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[39],3.4643889782762285,0.502053720195483,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[40],3.1887433116902377,0.4781593902823214,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[41],2.9313633152171303,0.4523979972259203,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[42],2.69200297585184,0.4257214122553236,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[43],2.470115744286857,0.398852339193227,1.0003925143977277,8063.983483452072,4962.187128121114
bhmm::mea_mu_obs[44],2.2649565961437914,0.37232495290649736,1.0003925143977277,8063.983483452072,4962.187128121114
