,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[47],3.0424572683193745,0.3461824148272419,2.5180667803125085,3.6222610914163638,7830.043430767137,6688.51094333919,0.999972884631479,0.0039047970590028063,0.0035601664238297556
bhmm::e_mu_obs[48],3.0990228903359807,0.34822584073694884,2.5711268374368963,3.6827819122104426,7819.461514778758,6427.871278190717,0.9999728690958848,0.0039301003195048685,0.0035625895682004057
bhmm::e_mu_obs[49],3.1530159751914817,0.34969530400922055,2.6212406843524008,3.739882672642507,7807.182704777825,6645.5325555115505,0.9999696548156931,0.003949212849644676,0.003559912197368326
bhmm::e_mu_obs[50],3.20422006360329,0.3505907187686372,2.6699023914223226,3.7915913870069913,7791.7512899232315,6589.368328514322,0.9999686747454436,0.0039621436963879824,0.003552622461097028
bhmm::e_mu_obs[51],3.2524268204465425,0.35091782405415806,2.7173277220209324,3.841459485348112,7777.232723871375,6723.157053034484,0.9999673221761692,0.003968964929038023,0.003541306978337238
bhmm::e_mu_obs[52],3.297437842178274,0.3506883448413202,2.762663976965688,3.88319902650723,7763.569182602208,6781.320392540447,0.9999695176863712,0.0039698129424150935,0.0035243746799716556
bhmm::e_mu_obs[53],3.339066406689736,0.34992005495380246,2.805007504532122,3.923771542385255,7745.926011083779,6766.736865305323,0.9999682299880033,0.003964888648269736,0.0035022735935876168
bhmm::e_mu_obs[54],3.3771391439912923,0.3486367279717835,2.844967292861723,3.9592684051214997,7730.455586291887,6796.146923320618,0.9999723176040652,0.003954456400900209,0.0034784915749598703
bhmm::e_mu_obs[55],3.4114976048815997,0.34686797326090796,2.881145984352228,3.988766666858422,7712.323512695551,6728.427099811339,0.9999752238949641,0.003938841650338192,0.003453987745728515
bhmm::e_mu_obs[56],3.4419997011162837,0.3446489535868379,2.9146065985952365,4.015417845186217,7691.806898608054,6733.108785046945,0.9999777278026012,0.00391842729682009,0.0034297383383715234
bhmm::e_mu_obs[57],3.4685209918287887,0.34201998123378313,2.942771244250784,4.034956499482353,7671.222258749026,6716.612075185472,0.9999788216098408,0.0038936487296798708,0.0034156488827088126
bhmm::e_mu_obs[58],3.49095579055677,0.33902598431080866,2.9673425496093646,4.0499241311503935,7650.713835691077,6814.945673218417,0.9999793055872975,0.0038649874877752506,0.0033964702655433854
bhmm::e_mu_obs[59],3.5092180796973067,0.3357158380602106,2.9907229925537675,4.059534534278494,7630.488574307326,6818.252230403569,0.9999818985367557,0.003832963508342267,0.0033801044083379755
bhmm::e_mu_obs[60],3.523242226763299,0.33214157202005024,3.0088627225755413,4.0635349917046195,7614.7609532497,6699.755050633865,0.9999806861600906,0.0037981261390178937,0.003367474122105752
bhmm::e_mu_obs[61],3.5329834897449217,0.32835746820499767,3.025385160354419,4.068555543036981,7593.936747672947,6473.584492135242,0.9999802189054846,0.003761044104432457,0.00336962782365195
bhmm::e_mu_obs[62],3.538418294354221,0.32441905809573796,3.0372744396104476,4.064600623234624,7569.651362916273,6473.234339409843,0.9999835035588075,0.0037222945471150157,0.003373847915437531
bhmm::e_mu_obs[63],3.539544277859163,0.32038202352806017,3.046686432111556,4.059097958903513,7545.017209865445,6482.097766848166,0.9999844799753982,0.0036824512360147145,0.003379880704903482
bhmm::e_mu_obs[64],3.536380118798743,0.31630103402823245,3.0508302981476816,4.047493362585035,7527.326025476258,6331.609194550928,0.9999888437574301,0.003642072365749073,0.003387292714162783
bhmm::e_mu_obs[65],3.5289651707059457,0.31222857067824444,3.049510353369301,4.032754284172882,7500.576466251135,6344.694829998033,0.9999934524932387,0.0036016884856925474,0.003395491185164956
bhmm::e_mu_obs[66],3.5173588654475667,0.3082137550368726,3.0442050897596507,4.018665643576396,7479.765293356803,6177.848052356807,0.99999602100031,0.0035617907354402465,0.0034037568095352487
bhmm::e_mu_obs[67],3.5016398992682687,0.30430121218163964,3.033375629129987,3.9986732161255736,7453.435122481021,6033.625907046436,1.0000003824322008,0.0035228197388886278,0.003411286784088079
bhmm::e_mu_obs[68],3.4819053031187277,0.30053005273390754,3.019568603183775,3.973593355286295,7429.89109774697,5966.046247736255,1.0000040692563696,0.00348515601512276,0.0034172449279118735
bhmm::e_mu_obs[69],3.4582693290438673,0.2969330044185388,3.00092405156612,3.9439851719718626,7408.511923620724,6057.397139981745,1.0000584078361439,0.003449112130607393,0.0034208146194469823
bhmm::e_mu_obs[70],3.4308621270058204,0.2935357155901293,2.9791359497307166,3.911612333733572,7390.631929579847,5944.147219886174,1.0001139218883828,0.003414926743651506,0.003421250390388992
